연월,결정,기준금리
2016-01,동결,1.50
2016-02,동결,1.50
2016-03,동결,1.50
2016-04,동결,1.50
2016-05,동결,1.50
2016-06,인하,1.25
2016-07,동결,1.25
2016-08,동결,1.25
2016-09,동결,1.25
2016-10,동결,1.25
2016-11,동결,1.25
2016-12,동결,1.25
2017-01,동결,1.25
2017-02,동결,1.25
2017-03,동결,1.25
2017-04,동결,1.25
2017-05,동결,1.25
2017-06,동결,1.25
2017-07,동결,1.25
2017-08,동결,1.25
2017-09,동결,1.25
2017-10,동결,1.25
2017-11,인상,1.50
2017-12,동결,1.50
2018-01,동결,1.50
2018-02,동결,1.50
2018-03,동결,1.50
2018-04,동결,1.50
2018-05,동결,1.50
2018-06,동결,1.50
2018-07,동결,1.50
2018-08,동결,1.50
2018-09,동결,1.50
2018-10,동결,1.50
2018-11,인상,1.75
2018-12,동결,1.75
2019-01,동결,1.75
2019-02,동결,1.75
2019-03,동결,1.75
2019-04,동결,1.75
2019-05,동결,1.75
2019-06,동결,1.75
2019-07,인하,1.50
2019-08,동결,1.50
2019-09,동결,1.50
2019-10,인하,1.25
2019-11,동결,1.25
2019-12,동결,1.25
2020-01,동결,1.25
2020-02,동결,1.25
2020-03,인하,0.75
2020-04,동결,0.75
2020-05,인하,0.50
2020-06,동결,0.50
2020-07,동결,0.50
2020-08,동결,0.50
2020-09,동결,0.50
2020-10,동결,0.50
2020-11,동결,0.50
2020-12,동결,0.50
2021-01,동결,0.50
2021-02,동결,0.50
2021-03,동결,0.50
2021-04,동결,0.50
2021-05,동결,0.50
2021-06,동결,0.50
2021-07,동결,0.50
2021-08,인상,0.75
2021-09,동결,0.75
2021-10,동결,0.75
2021-11,인상,1.00
2021-12,동결,1.00
2022-01,인상,1.25
2022-02,동결,1.25
2022-03,동결,1.25
2022-04,인상,1.50
2022-05,인상,1.75
2022-06,동결,1.75
2022-07,인상,2.25
2022-08,인상,2.50
2022-09,동결,2.50
2022-10,인상,3.00
2022-11,인상,3.25
2022-12,동결,3.25
2023-01,인상,3.50
2023-02,동결,3.50
2023-03,동결,3.50
2023-04,동결,3.50
2023-05,동결,3.50
2023-06,동결,3.50
2023-07,동결,3.50
2023-08,동결,3.50
2023-09,동결,3.50
2023-10,동결,3.50
2023-11,동결,3.50
2023-12,동결,3.50
2024-01,동결,3.50
2024-02,동결,3.50
2024-03,동결,3.50
2024-04,동결,3.50
2024-05,동결,3.50
2024-06,동결,3.50
2024-07,동결,3.50
2024-08,동결,3.50
2024-09,동결,3.50
2024-10,인하,3.25
2024-11,인하,3.00
2024-12,동결,3.00
2025-01,인하,2.75
2025-02,동결,2.75
2025-03,동결,2.75
2025-04,인하,2.50
2025-05,동결,2.50
2025-06,동결,2.50
2025-07,동결,2.50
2025-08,동결,2.50
2025-09,동결,2.50
2025-10,동결,2.50
2025-11,동결,2.50
